ء	ʔ
ذميم	ð a m iː m
ذنابى	ð a n aː b aː
ذنب	ð a n a b
ذنب	ð a n a b
ذنب	ð a n a b
ذنب	ð a n a b
ذهب	ð a h a b
ذهب	ð a h a b
ذهب	ð a h a b
ذهن	ð a h a n
ذهني	ð a h a n iː
ذو	ð uː
ذوب	ð uː b
ذوق	ð uː q
ذي	ð iː
ذيل	ð iː l
ر	r
ر	r
رأس	r a ʔa a s
رأس	r a ʔa a s
رأس	r a ʔa a s
رأسمال	r a ʔa a s a m aː l
رأسي	r a ʔa a s iː
رأف	r a ʔa a f
رأفة	r a ʔa a f a
رأل	r a ʔa a l
رأى	r a ʔa aː
رأي	r a ʔa iː
رؤوس	r a ʔu uː s
رؤوف	r a ʔu uː f
رؤى	r a ʔu aː
رؤيا	r a ʔu iː aː
رؤية	r a ʔu iː a
رئاسة	r a ʔi aː s a
رئاسي	r a ʔi aː s iː
رئوي	r a ʔi uː iː
رئيس	r a ʔi iː s
رئيسي	r a ʔi iː s iː
راء	r aː ʔ
راء	r aː ʔ
راءى	r aː ʔ aː
رائب	r aː ʔi a b
رائحة	r aː ʔi a ħ a
رائس	r aː ʔi a s
رائع	r aː ʔi a ʕ
رائعة	r aː ʔi a ʕ a
راب	r aː b
رابط	r aː b a tˤ
رابط	r aː b a tˤ
رابطة	r aː b a tˤ a
رابع	r aː b a ʕ
راتينج	r aː t iː n a d͡ʒ
راج	r aː d͡ʒ
راجشاهي	r aː d͡ʒ a ʃ aː h iː
راجل	r aː d͡ʒ a l
راجمة	r aː d͡ʒ a m a
راحة	r aː ħ a
راحل	r aː ħ a l
راحيل	r aː ħ iː l
رادف	r aː d a f
رادود	r aː d uː d
راديو	r aː d iː uː
راديو	r aː d iː uː
رازيانج	r aː z iː aː n a d͡ʒ
راسخ	r aː s a x
راسخت	r aː s a x a t
راشد	r aː ʃ a d
راض	r aː dˤ
راع	r aː ʕ
راع	r aː ʕ
راعدة	r aː ʕ a d a
رافد	r aː f a d
رافعة	r aː f a ʕ a
راقب	r aː q a b
راقص	r aː q a sˤ
راقص	r aː q a sˤ
راكب	r aː k a b
راكون	r aː k uː n
رام	r aː m
ران	r aː n
راهب	r aː h a b
راهبات	r aː h a b aː t
راهبة	r aː h a b a
راهق	r aː h a q
راود	r aː uː d
راوند	r aː uː n a d
رب	r a b
رب	r a b
رب	r a b
رب	r a b
رب	r a b
ربا	r a b aː
ربا	r a b aː
رباط	r a b aː tˤ
رباعيات	r a b aː ʕ iː aː t
رباني	r a b aː n iː
ربت	r a b a t
ربش	r a b a ʃ
ربش	r a b a ʃ
ربش	r a b a ʃ
ربما	r a b a m aː
ربوة	r a b uː a
ربوة	r a b uː a
ربيثاء	r a b iː θ aː ʔ
ربيع	r a b iː ʕ
رتبة	r a t a b a
رتع	r a t a ʕ
رتيل	r a t iː l
رتيلاء	r a t iː l aː ʔ
رتيلاوات	r a t iː l aː uː aː t
رتيلة	r a t iː l a
رتينج	r a t iː n a d͡ʒ
رثاء	r a θ aː ʔ
رثى	r a θ aː
رثية	r a θ iː a
رج	r a d͡ʒ
رج	r a d͡ʒ
رجا	r a d͡ʒ aː
رجاء	r a d͡ʒ aː ʔ
رجائي	r a d͡ʒ aː ʔi iː
رجب	r a d͡ʒ a b
رجة	r a d͡ʒ a
رجرج	r a d͡ʒ a r a d͡ʒ
رجع	r a d͡ʒ a ʕ
رجع	r a d͡ʒ a ʕ
رجع	r a d͡ʒ a ʕ
رجع	r a d͡ʒ a ʕ
رجفة	r a d͡ʒ a f a
رجل	r a d͡ʒ a l
رجل	r a d͡ʒ a l
رجل	r a d͡ʒ a l
رجل	r a d͡ʒ a l
رجل	r a d͡ʒ a l
رجل	r a d͡ʒ a l
رجلة	r a d͡ʒ a l a
رجمة	r a d͡ʒ a m a
رجوع	r a d͡ʒ uː ʕ
رجيم	r a d͡ʒ iː m
رجينة	r a d͡ʒ iː n a
رح	r a ħ
رحاية	r a ħ aː iː a
رحب	r a ħ a b
رحب	r a ħ a b
رحب	r a ħ a b
رحب	r a ħ a b
رحب	r a ħ a b
رحب	r a ħ a b
رحمة	r a ħ a m a
رحمن	r a ħ a m a n
رحمن	r a ħ a m a n
رحمن	r a ħ a m a n
رحمن	r a ħ a m a n
رحمن	r a ħ a m a n
رحمن	r a ħ a m a n
رحموت	r a ħ a m uː t
رحى	r a ħ aː
رحيق	r a ħ iː q
رحيل	r a ħ iː l
رحيم	r a ħ iː m
رخ	r a x
رخ	r a x
رخ	r a x
رخاء	r a x aː ʔ
رخاخ	r a x aː x
رخام	r a x aː m
رخام	r a x aː m
رخة	r a x a
رخخة	r a x a x a
رخصة	r a x a sˤ a
رخويات	r a x uː iː aː t
رخيص	r a x iː sˤ
رخيم	r a x iː m
رد	r a d
رد	r a d
رد	r a d
رداء	r a d aː ʔ
ردة	r a d a
ردد	r a d a d
ردع	r a d a ʕ
ردع	r a d a ʕ
ردم	r a d a m
ردى	r a d aː
ردى	r a d aː
رذ	r a ð
رذاذ	r a ð aː ð
رذيل	r a ð iː l
رذيلة	r a ð iː l a
رز	r a z
رزاق	r a z aː q
رزانة	r a z aː n a
رزة	r a z a
رزتاق	r a z a t aː q
رزداق	r a z a d aː q
رزمة	r a z a m a
رزمة	r a z a m a
رساطون	r a s aː tˤ uː n
رساطون	r a s aː tˤ uː n
رسالة	r a s aː l a
رسام	r a s aː m
رستاق	r a s a t aː q
رسداق	r a s a d aː q
رسغ	r a s a ɣ
رسم	r a s a m
رسمة	r a s a m a
رسول	r a s uː l
رشا	r a ʃ aː
رشاء	r a ʃ aː ʔ
رشح	r a ʃ a ħ
رشح	r a ʃ a ħ
رشح	r a ʃ a ħ
رشف	r a ʃ a f
رشفة	r a ʃ a f a
رشوة	r a ʃ uː a
رشوة	r a ʃ uː a
رشوة	r a ʃ uː a
رشيد	r a ʃ iː d
رشيق	r a ʃ iː q
رصاص	r a sˤ aː sˤ
رصاصة	r a sˤ aː sˤ a
رصافة	r a sˤ aː f a
رصع	r a sˤ a ʕ
رصفاء	r a sˤ a f aː ʔ
رصفان	r a sˤ a f aː n
رضا	r a dˤ aː
رضائع	r a dˤ aː ʔi a ʕ
رضائي	r a dˤ aː ʔi iː
رضاعة	r a dˤ aː ʕ a
رضة	r a dˤ a
رضع	r a dˤ a ʕ
رضع	r a dˤ a ʕ
رضع	r a dˤ a ʕ
رضعاء	r a dˤ a ʕ aː ʔ
رضعة	r a dˤ a ʕ a
رضوان	r a dˤ uː aː n
رضوان	r a dˤ uː aː n
رضوخ	r a dˤ uː x
رضوي	r a dˤ uː iː
رضى	r a dˤ aː
رضي	r a dˤ iː
رضيع	r a dˤ iː ʕ
رطانة	r a tˤ aː n a
رطانة	r a tˤ aː n a
رطب	r a tˤ a b
رطب	r a tˤ a b
رطب	r a tˤ a b
رطريط	r a tˤ a r iː tˤ
رطل	r a tˤ a l
رطوبة	r a tˤ uː b a
رطيب	r a tˤ iː b
رعاش	r a ʕ aː ʃ
رعاع	r a ʕ aː ʕ
رعاف	r a ʕ aː f
رعاية	r a ʕ aː iː a
رعد	r a ʕ a d
رعراع	r a ʕ a r aː ʕ
رعرع	r a ʕ a r a ʕ
رعشة	r a ʕ a ʃ a
رعن	r a ʕ a n
رعن	r a ʕ a n
رعن	r a ʕ a n
رعونة	r a ʕ uː n a
رعى	r a ʕ aː
رغائف	r a ɣ aː ʔi a f
رغائف	r a ɣ aː ʔi a f
رغب	r a ɣ a b
رغبة	r a ɣ a b a
رغد	r a ɣ a d
رغف	r a ɣ a f
رغفان	r a ɣ a f aː n
رغم	r a ɣ a m
رغم	r a ɣ a m
رغوة	r a ɣ uː a
رغيف	r a ɣ iː f
رغيفات	r a ɣ iː f aː t
رغيفة	r a ɣ iː f a
رف	r a f
رفأ	r a f a ʔa
رفائيل	r a f aː ʔi iː l
رفاق	r a f aː q
رفاه	r a f aː h
رفاهة	r a f aː h a
رفاهية	r a f aː h iː a
رفس	r a f a s
رفع	r a f a ʕ
رفقة	r a f a q a
رفقة	r a f a q a
رفيق	r a f iː q
رقابة	r a q aː b a
رقابة	r a q aː b a
رقاص	r a q aː sˤ
رقاصة	r a q aː sˤ a
رقبة	r a q a b a
رقة	r a q a
رقص	r a q a sˤ
رقص	r a q a sˤ
رقص	r a q a sˤ
رقصة	r a q a sˤ a
رقعة	r a q a ʕ a
رقف	r a q a f
رقم	r a q a m
رقم	r a q a m
رقم	r a q a m
رقم	r a q a m
رقم	r a q a m
رقمنة	r a q a m a n a
رقيب	r a q iː b
رقيق	r a q iː q
ركاب	r a k aː b
ركبة	r a k a b a
ركبة	r a k a b a
ركض	r a k a dˤ
ركض	r a k a dˤ
ركع	r a k a ʕ
ركف	r a k a f
ركل	r a k a l
ركل	r a k a l
ركلات	r a k a l aː t
ركلة	r a k a l a
ركن	r a k a n
ركنية	r a k a n iː a
ركيزة	r a k iː z a
ركيك	r a k iː k
رم	r a m
رماد	r a m aː d
رمادي	r a m aː d iː
رمال	r a m aː l
رمال	r a m aː l
رمان	r a m aː n
رمرام	r a m a r aː m
رمرم	r a m a r a m
رمز	r a m a z
رمز	r a m a z
رمز	r a m a z
رمزية	r a m a z iː a
رمس	r a m a s
رمش	r a m a ʃ
رمش	r a m a ʃ
رمضان	r a m a dˤ aː n
رمضان	r a m a dˤ aː n
رمضان	r a m a dˤ aː n
رمل	r a m a l
رملي	r a m a l iː
رمم	r a m a m
رموز	r a m uː z
رموس	r a m uː s
رمى	r a m aː
رمي	r a m iː
رند	r a n a d
رنف	r a n a f
رنف	r a n a f
رنيم	r a n iː m
رهبانية	r a h a b aː n iː a
رهبوت	r a h a b uː t
رهج	r a h a d͡ʒ
رهج	r a h a d͡ʒ
رهط	r a h a tˤ
رهيب	r a h iː b
رهينة	r a h iː n a
روابط	r uː aː b a tˤ
رواح	r uː aː ħ
رواصير	r uː aː sˤ iː r
رواصيل	r uː aː sˤ iː l
رواق	r uː aː q
رواق	r uː aː q
رواقي	r uː aː q iː
رواقية	r uː aː q iː a
رواندا	r uː aː n a d aː
رواية	r uː aː iː a
روبوت	r uː b uː t
روبيان	r uː b iː aː n
روح	r uː ħ
روح	r uː ħ
روحاني	r uː ħ aː n iː
روحي	r uː ħ iː
روحي	r uː ħ iː
روحية	r uː ħ iː a
روزنامة	r uː z a n aː m a
روس	r uː s
روس	r uː s
روسختج	r uː s a x a t a d͡ʒ
روسي	r uː s iː
روسيا	r uː s iː aː
روض	r uː dˤ
روق	r uː q
روق	r uː q
روق	r uː q
روم	r uː m
روما	r uː m aː
روما	r uː m aː
رومانسي	r uː m aː n a s iː
رومانيا	r uː m aː n iː aː
رومية	r uː m iː a
رومية	r uː m iː a
رونق	r uː n a q
روية	r uː iː a
رويدا	r uː iː d aː
رياسة	r iː aː s a
رياش	r iː aː ʃ
رياضة	r iː aː dˤ a
رياضي	r iː aː dˤ iː
رياضيات	r iː aː dˤ iː aː t
ريال	r iː aː l
ريان	r iː aː n
ريباس	r iː b aː s
ريح	r iː ħ
ريح	r iː ħ
ريح	r iː ħ
ريح	r iː ħ
ريحان	r iː ħ aː n
ريحانة	r iː ħ aː n a
ريش	r iː ʃ
ريشة	r iː ʃ a
ريصار	r iː sˤ aː r
ريصال	r iː sˤ aː l
ريفي	r iː f iː
ريمونتادا	r iː m uː n a t aː d aː
ريوند	r iː uː n a d
ز	z
ز	z
ز	z
زأر	z a ʔa a r
زأم	z a ʔa a m
زأمة	z a ʔa a m a
زؤام	z a ʔu aː m
زئر	z a ʔi a r
زئم	z a ʔi a m
زئير	z a ʔi iː r
زاؤوق	z aː ʔu uː q
زائر	z aː ʔi a r
زائف	z aː ʔi a f
زائل	z aː ʔi a l
زاح	z aː ħ
زار	z aː r
زاغ	z aː ɣ
زامبيا	z aː m a b iː aː
زانية	z aː n iː a
زاهد	z aː h a d
زاوية	z aː uː iː a
زاي	z aː iː
زايد	z aː iː d
زبال	z a b aː l
زبالة	z a b aː l a
زبب	z a b a b
زبب	z a b a b
زبدة	z a b a d a
زبدة	z a b a d a
زبدة	z a b a d a
زبرجد	z a b a r a d͡ʒ a d
زبطانة	z a b a tˤ aː n a
زبل	z a b a l
زبل	z a b a l
زبور	z a b uː r
زبون	z a b uː n
زبيب	z a b iː b
زبيل	z a b iː l
زبيل	z a b iː l
زجاج	z a d͡ʒ aː d͡ʒ
زجاجة	z a d͡ʒ aː d͡ʒ a
زجاجة	z a d͡ʒ aː d͡ʒ a
زجاجة	z a d͡ʒ aː d͡ʒ a
زحافة	z a ħ aː f a
زحزح	z a ħ a z a ħ
زحف	z a ħ a f
زحف	z a ħ a f
زحل	z a ħ a l
زحمة	z a ħ a m a
زخ	z a x
زخ	z a x
زخات	z a x aː t
زخة	z a x a
زخرفة	z a x a r a f a
زراعة	z a r aː ʕ a
زراعي	z a r aː ʕ iː
زرافة	z a r aː f a
زرافة	z a r aː f a
زراوند	z a r aː uː n a d
زربطانة	z a r a b a tˤ aː n a
زربية	z a r a b iː a
زربية	z a r a b iː a
زربية	z a r a b iː a
زرجون	z a r a d͡ʒ uː n
زردخان	z a r a d a x aː n
زردخاناة	z a r a d a x aː n aː a
زردخانة	z a r a d a x aː n a
زردخانة	z a r a d a x aː n a
زرزر	z a r a z a r
زرشك	z a r a ʃ a k
زرشك	z a r a ʃ a k
زرع	z a r a ʕ
زرع	z a r a ʕ
زرقاء	z a r a q aː ʔ
زرقطونا	z a r a q a tˤ uː n aː
زرقون	z a r a q uː n
زرنب	z a r a n a b
زرنب	z a r a n a b
زرياب	z a r iː aː b
زريبة	z a r iː b a
زعتر	z a ʕ a t a r
زعزع	z a ʕ a z a ʕ
زعط	z a ʕ a tˤ
زعفران	z a ʕ a f a r aː n
زعنفة	z a ʕ a n a f a
زعنفة	z a ʕ a n a f a
زعيم	z a ʕ iː m
زغاريد	z a ɣ aː r iː d
زغاية	z a ɣ aː iː a
زغب	z a ɣ a b
زغرد	z a ɣ a r a d
زغلول	z a ɣ a l uː l
زفاف	z a f aː f
زفر	z a f a r
زفزف	z a f a z a f
زفن	z a f a n
زفيزف	z a f iː z a f
زق	z a q
زق	z a q
زق	z a q
زق	z a q
زقاق	z a q aː q
زقوم	z a q uː m
زكاة	z a k aː a
زكاة	z a k aː a
زكام	z a k aː m
زكرة	z a k a r a
زكريا	z a k a r iː aː
زكوات	z a k uː aː t
زكى	z a k aː
زكي	z a k iː
زكي	z a k iː
زلابية	z a l aː b iː a
زلابية	z a l aː b iː a
زلازل	z a l aː z a l
زلال	z a l aː l
زلزال	z a l a z aː l
زلزال	z a l a z aː l
زلزل	z a l a z a l
زلزلة	z a l a z a l a
زلية	z a l iː a
زلية	z a l iː a
زليج	z a l iː d͡ʒ
زم	z a m
زمام	z a m aː m
زمان	z a m aː n
زمانئذ	z a m aː n a ʔi a ð
زمانذاك	z a m aː n a ð aː k
زمج	z a m a d͡ʒ
زمجر	z a m a d͡ʒ a r
زمرة	z a m a r a
زمرد	z a m a r a d
زمزريق	z a m a z a r iː q
زمزم	z a m a z a m
زمزم	z a m a z a m
زمكان	z a m a k aː n
زملاء	z a m a l aː ʔ
زمن	z a m a n
زمنئذ	z a m a n a ʔi a ð
زمنذاك	z a m a n a ð aː k
زمهرير	z a m a h a r iː r
زميل	z a m iː l
زميلات	z a m iː l aː t
زميلة	z a m iː l a
زمين	z a m iː n
زنار	z a n aː r
زنباع	z a n a b aː ʕ
زنباعة	z a n a b aː ʕ a
زنبق	z a n a b a q
زنبوج	z a n a b uː d͡ʒ
زنبور	z a n a b uː r
زنبور	z a n a b uː r
زنبوع	z a n a b uː ʕ
زنة	z a n a
زنجاري	z a n a d͡ʒ aː r iː
زنجبيل	z a n a d͡ʒ a b iː l
زنخ	z a n a x
زندقة	z a n a d a q a
زنديق	z a n a d iː q
زنزانة	z a n a z aː n a
زنوبة	z a n uː b a
زها	z a h aː
زهر	z a h a r
زهر	z a h a r
زهراء	z a h a r aː ʔ
زهرة	z a h a r a
زهرة	z a h a r a
زهرية	z a h a r iː a
زهو	z a h uː
زواج	z uː aː d͡ʒ
زوار	z uː aː r
زوار	z uː aː r
زوال	z uː aː l
زوان	z uː aː n
زوان	z uː aː n
زوان	z uː aː n
زوان	z uː aː n
زوج	z uː d͡ʒ
زوج	z uː d͡ʒ
زوجة	z uː d͡ʒ a
زوجي	z uː d͡ʒ iː
زود	z uː d
زوراء	z uː r aː ʔ
زورق	z uː r a q
زوفا	z uː f aː
زوفرا	z uː f a r aː
زوقال	z uː q aː l
زول	z uː l
زولية	z uː l iː a
زوم	z uː m
زيا	z iː aː
زياد	z iː aː d
زيادة	z iː aː d a
زيادة	z iː aː d a
زيار	z iː aː r
زيارة	z iː aː r a
زيت	z iː t
زيتون	z iː t uː n
زيتي	z iː t iː
زيج	z iː d͡ʒ
زيرباج	z iː r a b aː d͡ʒ
زيزفون	z iː z a f uː n
زيمبابوي	z iː m a b aː b uː iː
زينب	z iː n a b
س	s
س	s
سأل	s a ʔa a l
سؤال	s a ʔu aː l
سؤال	s a ʔu aː l
سؤدد	s a ʔu a d a d
سؤدد	s a ʔu a d a d
سئم	s a ʔi a m
ساء	s aː ʔ
ساءل	s aː ʔ a l
سائبة	s aː ʔi a b a
سائح	s aː ʔi a ħ
سائد	s aː ʔi a d
سائل	s aː ʔi a l
سائمة	s aː ʔi a m a
سابع	s aː b a ʕ
سابق	s aː b a q
سابقة	s aː b a q a
سابيائي	s aː b iː aː ʔi iː
ساتر	s aː t a r
ساج	s aː d͡ʒ
ساجور	s aː d͡ʒ uː r
ساحة	s aː ħ a
ساحر	s aː ħ a r
ساحرة	s aː ħ a r a
ساحل	s aː ħ a l
ساحلي	s aː ħ a l iː
ساخط	s aː x a tˤ
ساخن	s aː x a n
ساد	s aː d
سادس	s aː d a s
سادن	s aː d a n
ساذج	s aː ð a d͡ʒ
ساذج	s aː ð a d͡ʒ
سار	s aː r
سارة	s aː r a
سارق	s aː r a q
سارق	s aː r a q
ساسم	s aː s a m
ساط	s aː tˤ
ساطور	s aː tˤ uː r
ساع	s aː ʕ
ساعة	s aː ʕ a
ساعتئذ	s aː ʕ a t a ʔi a ð
ساعتذاك	s aː ʕ a t a ð aː k
ساعد	s aː ʕ a d
ساعد	s aː ʕ a d
ساف	s aː f
ساف	s aː f
سافانا	s aː f aː n aː
سافل	s aː f a l
ساق	s aː q
ساق	s aː q
ساكف	s aː k a f
ساكن	s aː k a n
ساكن	s aː k a n
سالب	s aː l a b
سالوس	s aː l uː s
سام	s aː m
سام	s aː m
سام	s aː m
سام	s aː m
سامور	s aː m uː r
سامي	s aː m iː
سامية	s aː m iː a
سامية	s aː m iː a
ساند	s aː n a d
ساندويتش	s aː n a d uː iː t a ʃ
سانية	s aː n iː a
سانية	s aː n iː a
ساه	s aː h
ساهر	s aː h a r
ساهم	s aː h a m
ساهور	s aː h uː r
ساهون	s aː h uː n
ساوم	s aː uː m
سبأ	s a b a ʔa
سبئي	s a b a ʔi iː
سباق	s a b aː q
سباك	s a b aː k
سبانخ	s a b aː n a x
سبانخ	s a b aː n a x
سبب	s a b a b
سبب	s a b a b
سببية	s a b a b iː a
سبتمبر	s a b a t a m a b a r
سبتمبر	s a b a t a m a b a r
سبتمبر	s a b a t a m a b a r
سبتمبر	s a b a t a m a b a r
سبتمبر	s a b a t a m a b a r
سبتمبر	s a b a t a m a b a r
سبج	s a b a d͡ʒ
سبح	s a b a ħ
سبح	s a b a ħ
سبح	s a b a ħ
سبخة	s a b a x a
سبخة	s a b a x a
سبر	s a b a r
سبر	s a b a r
سبر	s a b a r
سبسب	s a b a s a b
سبسب	s a b a s a b
سبطانة	s a b a tˤ aː n a
سبعة	s a b a ʕ a
سبعون	s a b a ʕ uː n
سبلة	s a b a l a
سبها	s a b a h aː
سبورة	s a b uː r a
ستار	s a t aː r
ستارة	s a t aː r a
ستة	s a t a
سترة	s a t a r a
سترجة	s a t a r a d͡ʒ a
ستنبر	s a t a n a b a r
ستون	s a t uː n
سجا	s a d͡ʒ aː
سجادة	s a d͡ʒ aː d a
سجال	s a d͡ʒ aː l
سجستان	s a d͡ʒ a s a t aː n
سجستان	s a d͡ʒ a s a t aː n
سجلاط	s a d͡ʒ a l aː tˤ
سجن	s a d͡ʒ a n
سجنجل	s a d͡ʒ a n a d͡ʒ a l
سجين	s a d͡ʒ iː n
سحاب	s a ħ aː b
سحابة	s a ħ aː b a
سحاقية	s a ħ aː q iː a
سحلب	s a ħ a l a b
سحلية	s a ħ a l iː a
سحم	s a ħ a m
سحم	s a ħ a m
سحم	s a ħ a m
سحور	s a ħ uː r
سحور	s a ħ uː r
سخاء	s a x aː ʔ
سخاب	s a x aː b
سخام	s a x aː m
سخبر	s a x a b a r
سخد	s a x a d
سخل	s a x a l
سخيف	s a x iː f
سدارة	s a d aː r a
سدر	s a d a r
سدر	s a d a r
سدل	s a d a l
سذاب	s a ð aː b
سذاب	s a ð aː b
سذاجة	s a ð aː d͡ʒ a
سراء	s a r aː ʔ
سراب	s a r aː b
سراة	s a r aː a
سراح	s a r aː ħ
سرادق	s a r aː d a q
سراط	s a r aː tˤ
سراق	s a r aː q
سراق	s a r aː q
سراويل	s a r aː uː iː l
سربال	s a r a b aː l
سربام	s a r a b aː m
سرة	s a r a
سرجين	s a r a d͡ʒ iː n
سرحان	s a r a ħ aː n
سرخس	s a r a x a s
سرد	s a r a d
سرد	s a r a d
سرداب	s a r a d aː b
سرط	s a r a tˤ
سرعة	s a r a ʕ a
سرعوف	s a r a ʕ uː f
سرعوف	s a r a ʕ uː f
سرقسطة	s a r a q a s a tˤ a
سرقين	s a r a q iː n
سركنجبين	s a r a k a n a d͡ʒ a b iː n
سركنجبين	s a r a k a n a d͡ʒ a b iː n
سرم	s a r a m
سرمدي	s a r a m a d iː
سرمق	s a r a m a q
سرنديب	s a r a n a d iː b
سرو	s a r uː
سروال	s a r uː aː l
سرور	s a r uː r
سرى	s a r aː
سريان	s a r iː aː n
سريان	s a r iː aː n
سرير	s a r iː r
سرير	s a r iː r
سريش	s a r iː ʃ
سريش	s a r iː ʃ
سريع	s a r iː ʕ
سريلانكا	s a r iː l aː n a k aː
سطات	s a tˤ aː t
سطام	s a tˤ aː m
سطح	s a tˤ a ħ
سطحي	s a tˤ a ħ iː
سطع	s a tˤ a ʕ
سطم	s a tˤ a m
سطم	s a tˤ a m
سطوة	s a tˤ uː a
سطوع	s a tˤ uː ʕ
سعادة	s a ʕ aː d a
سعار	s a ʕ aː r
سعال	s a ʕ aː l
سعة	s a ʕ a
سعد	s a ʕ a d
سعداء	s a ʕ a d aː ʔ
سعدان	s a ʕ a d aː n
سعر	s a ʕ a r
سعل	s a ʕ a l
سعودي	s a ʕ uː d iː
سعودي	s a ʕ uː d iː
سعى	s a ʕ aː
سعي	s a ʕ iː
سعي	s a ʕ iː
سعيد	s a ʕ iː d
سفاح	s a f aː ħ
سفاح	s a f aː ħ
سفارة	s a f aː r a
سفافيد	s a f aː f iː d
سفالة	s a f aː l a
سفالة	s a f aː l a
سفر	s a f a r
سفر	s a f a r
سفر	s a f a r
سفر	s a f a r
سفر	s a f a r
سفرة	s a f a r a
سفرجل	s a f a r a d͡ʒ a l
سفرجلة	s a f a r a d͡ʒ a l a
سفع	s a f a ʕ
سفع	s a f a ʕ
سفهاء	s a f a h aː ʔ
سفود	s a f uː d
سفوف	s a f uː f
سفيان	s a f iː aː n
سفير	s a f iː r
سفينة	s a f iː n a
سفينة	s a f iː n a
سفيه	s a f iː h
سقاء	s a q aː ʔ
سقاء	s a q aː ʔ
سقراط	s a q a r aː tˤ
سقرلاط	s a q a r a l aː tˤ
سقطة	s a q a tˤ a
سقطرة	s a q a tˤ a r a
سقطرى	s a q a tˤ a r aː
سقف	s a q a f
سقلات	s a q a l aː t
سقلاتون	s a q a l aː t uː n
سقلاط	s a q a l aː tˤ
سقلاطون	s a q a l aː tˤ uː n
سقلطون	s a q a l a tˤ uː n
سقلطوني	s a q a l a tˤ uː n iː
سقم	s a q a m
سقم	s a q a m
سقمونيا	s a q a m uː n iː aː
سقنقور	s a q a n a q uː r
سقوط	s a q uː tˤ
سقيفة	s a q iː f a
سقيم	s a q iː m
سكار	s a k aː r
سكافة	s a k aː f a
سكب	s a k a b
سكب	s a k a b
سكباج	s a k a b aː d͡ʒ
سكة	s a k a
سكر	s a k a r
سكران	s a k a r aː n
سكرتير	s a k a r a t iː r
سكرجة	s a k a r a d͡ʒ a
سكرجة	s a k a r a d͡ʒ a
سكرجة	s a k a r a d͡ʒ a
سكسكة	s a k a s a k a
سكن	s a k a n
سكن	s a k a n
سكن	s a k a n
سكنة	s a k a n a
سكنة	s a k a n a
سكنة	s a k a n a
سكنة	s a k a n a
سكنجبين	s a k a n a d͡ʒ a b iː n
سكنجبين	s a k a n a d͡ʒ a b iː n
سكون	s a k uː n
سكونة	s a k uː n a
سكي	s a k iː
سكير	s a k iː r
سكين	s a k iː n
سكينة	s a k iː n a
سكينة	s a k iː n a
سلا	s a l aː
سلاجقة	s a l aː d͡ʒ a q a
سلاح	s a l aː ħ
سلاح	s a l aː ħ
سلاطين	s a l aː tˤ iː n
سلاف	s a l aː f
سلافي	s a l aː f iː
سلاق	s a l aː q
سلالة	s a l aː l a
سلام	s a l aː m
سلام	s a l aː m
سلامة	s a l aː m a
سلامتك	s a l aː m a t a k
سلامتك	s a l aː m a t a k
سلباح	s a l a b aː ħ
سلبي	s a l a b iː
سلبية	s a l a b iː a
سلة	s a l a
سلة	s a l a
سلة	s a l a
سلجم	s a l a d͡ʒ a m
سلجوق	s a l a d͡ʒ uː q
سلجوقي	s a l a d͡ʒ uː q iː
سلح	s a l a ħ
سلح	s a l a ħ
سلح	s a l a ħ
سلحفاة	s a l a ħ a f aː a
سلسل	s a l a s a l
سلسلة	s a l a s a l a
سلطان	s a l a tˤ aː n
سلطانية	s a l a tˤ aː n iː a
سلطة	s a l a tˤ a
سلطة	s a l a tˤ a
سلطنة	s a l a tˤ a n a
سلطوي	s a l a tˤ uː iː
سلطوية	s a l a tˤ uː iː a
سلعة	s a l a ʕ a
سلفادور	s a l a f aː d uː r
سلفادور	s a l a f aː d uː r
سلم	s a l a m
سلم	s a l a m
سلماس	s a l a m aː s
سلمون	s a l a m uː n
سلمون	s a l a m uː n
سلهت	s a l a h a t
سلوان	s a l uː aː n
سلوفاكيا	s a l uː f aː k iː aː
سلوفاكيا	s a l uː f aː k iː aː
سلوفاكيا	s a l uː f aː k iː aː
سلوفينيا	s a l uː f iː n iː aː
سلوقي	s a l uː q iː
سلوقي	s a l uː q iː
سلوقي	s a l uː q iː
سلوى	s a l uː aː
سليخة	s a l iː x a
سليقة	s a l iː q a
سليل	s a l iː l
سليلة	s a l iː l a
سليلى	s a l iː l aː
سليم	s a l iː m
سليمان	s a l iː m aː n
سم	s a m
سماء	s a m aː ʔ
سماد	s a m aː d
سمار	s a m aː r
سماعي	s a m aː ʕ iː
سماق	s a m aː q
سماوي	s a m aː uː iː
سمبوسة	s a m a b uː s a
سمبوسك	s a m a b uː s a k
سمرقند	s a m a r a q a n a d
سمسار	s a m a s aː r
سمسم	s a m a s a m
سمع	s a m a ʕ
سمع	s a m a ʕ
سمع	s a m a ʕ
سمعان	s a m a ʕ aː n
سمعة	s a m a ʕ a
سمعي	s a m a ʕ iː
سمك	s a m a k
سمكة	s a m a k a
سمن	s a m a n
سمن	s a m a n
سمن	s a m a n
سمن	s a m a n
سمن	s a m a n
سمن	s a m a n
سمن	s a m a n
سمن	s a m a n
سمو	s a m uː
سموأل	s a m uː ʔa a l
سموئيل	s a m uː ʔi iː l
سمور	s a m uː r
سموم	s a m uː m
سموم	s a m uː m
سمويل	s a m uː iː l
سمى	s a m aː
سميت	s a m iː t
سميد	s a m iː d
سميذ	s a m iː ð
