ء	ʔ
رخاء	r x aː ʔ
رخاخ	r x aː x
رخام	r x aː m
رخام	r x aː m
رخة	r x a
رخخة	r x x a
رخصة	r x sˤ a
رخويات	r x u j aː t
رخيص	r x i sˤ
رخيم	r x i m
رد	r d
رد	r d
رد	r d
رداء	r d aː ʔ
ردة	r d a
ردد	r d d
ردع	r d ʕ
ردع	r d ʕ
ردم	r d m
ردى	r d aː
ردى	r d aː
رذ	r ð
رذاذ	r ð aː ð
رذيل	r ð i l
رذيلة	r ð i l a
رز	r z
رزاق	r z aː q
رزانة	r z aː n a
رزة	r z a
رزتاق	r z t aː q
رزداق	r z d aː q
رزمة	r z m a
رزمة	r z m a
رساطون	r s aː tˤ u n
رساطون	r s aː tˤ u n
رسالة	r s aː l a
رسام	r s aː m
رستاق	r s t aː q
رسداق	r s d aː q
رسغ	r s ɣ
رسم	r s m
رسمة	r s m a
رسول	r s u l
رشا	r ʃ aː
رشاء	r ʃ aː ʔ
رشح	r ʃ ħ
رشح	r ʃ ħ
رشح	r ʃ ħ
رشف	r ʃ f
رشفة	r ʃ f a
رشوة	r ʃ u a
رشوة	r ʃ u a
رشوة	r ʃ u a
رشيد	r ʃ i d
رشيق	r ʃ i q
رصاص	r sˤ aː sˤ
رصاصة	r sˤ aː sˤ a
رصافة	r sˤ aː f a
رصع	r sˤ ʕ
رصفاء	r sˤ f aː ʔ
رصفان	r sˤ f aː n
رضا	r dˤ aː
رضائع	r dˤ aː ʔ i ʕ
رضائي	r dˤ aː ʔ i iː
رضاعة	r dˤ aː ʕ a
رضة	r dˤ a
رضع	r dˤ ʕ
رضع	r dˤ ʕ
رضع	r dˤ ʕ
رضعاء	r dˤ ʕ aː ʔ
رضعة	r dˤ ʕ a
رضوان	r dˤ u aː n
رضوان	r dˤ u aː n
رضوخ	r dˤ u x
رضوي	r dˤ u iː
رضى	r dˤ aː
رضي	r dˤ iː
رضيع	r dˤ i ʕ
رطانة	r tˤ aː n a
رطانة	r tˤ aː n a
رطب	r tˤ b
رطب	r tˤ b
رطب	r tˤ b
رطريط	r tˤ r i tˤ
رطل	r tˤ l
رطوبة	r tˤ u b a
رطيب	r tˤ i b
رعاش	r ʕ aː ʃ
رعاع	r ʕ aː ʕ
رعاف	r ʕ aː f
رعاية	r ʕ aː j a
رعد	r ʕ d
رعراع	r ʕ r aː ʕ
رعرع	r ʕ r ʕ
رعشة	r ʕ ʃ a
رعن	r ʕ n
رعن	r ʕ n
رعن	r ʕ n
رعونة	r ʕ u n a
رعى	r ʕ aː
رغائف	r ɣ aː ʔ i f
رغائف	r ɣ aː ʔ i f
رغب	r ɣ b
رغبة	r ɣ b a
رغد	r ɣ d
رغف	r ɣ f
رغفان	r ɣ f aː n
رغم	r ɣ m
رغم	r ɣ m
رغوة	r ɣ u a
رغيف	r ɣ i f
رغيفات	r ɣ i f aː t
رغيفة	r ɣ i f a
رف	r f
رفأ	r f ʔ a
رفائيل	r f aː ʔ i i l
رفاق	r f aː q
رفاه	r f aː h
رفاهة	r f aː h a
رفاهية	r f aː h i a
رفس	r f s
رفع	r f ʕ
رفقة	r f q a
رفقة	r f q a
رفيق	r f i q
رقابة	r q aː b a
رقابة	r q aː b a
رقاص	r q aː sˤ
رقاصة	r q aː sˤ a
رقبة	r q b a
رقة	r q a
رقص	r q sˤ
رقص	r q sˤ
رقص	r q sˤ
رقصة	r q sˤ a
رقعة	r q ʕ a
رقف	r q f
رقم	r q m
رقم	r q m
رقم	r q m
رقم	r q m
رقم	r q m
رقمنة	r q m n a
رقيب	r q i b
رقيق	r q i q
ركاب	r k aː b
ركبة	r k b a
ركبة	r k b a
ركض	r k dˤ
ركض	r k dˤ
ركع	r k ʕ
ركف	r k f
ركل	r k l
ركل	r k l
ركلات	r k l aː t
ركلة	r k l a
ركن	r k n
ركنية	r k n i a
ركيزة	r k i z a
ركيك	r k i k
رم	r m
رماد	r m aː d
رمادي	r m aː d iː
رمال	r m aː l
رمال	r m aː l
رمان	r m aː n
رمرام	r m r aː m
رمرم	r m r m
رمز	r m z
رمز	r m z
رمز	r m z
رمزية	r m z i a
رمس	r m s
رمش	r m ʃ
رمش	r m ʃ
رمضان	r m dˤ aː n
رمضان	r m dˤ aː n
رمضان	r m dˤ aː n
رمل	r m l
رملي	r m l iː
رمم	r m m
رموز	r m u z
رموس	r m u s
رمى	r m aː
رمي	r m iː
رند	r n d
رنف	r n f
رنف	r n f
رنيم	r n i m
رهبانية	r h b aː n i a
رهبوت	r h b u t
رهج	r h dʒ
رهج	r h dʒ
رهط	r h tˤ
رهيب	r h i b
رهينة	r h i n a
روابط	r u aː b tˤ
رواح	r u aː ħ
رواصير	r u aː sˤ i r
رواصيل	r u aː sˤ i l
رواق	r u aː q
رواق	r u aː q
رواقي	r u aː q iː
رواقية	r u aː q i a
رواندا	r u aː n d aː
رواية	r u aː j a
روبوت	r u b u t
روبيان	r u b i aː n
روح	r u ħ
روح	r u ħ
روحاني	r u ħ aː n iː
روحي	r u ħ iː
روحي	r u ħ iː
روحية	r u ħ i a
روزنامة	r u z n aː m a
روس	r u s
روس	r u s
روسختج	r u s x t dʒ
روسي	r u s iː
روسيا	r u s i aː
روض	r u dˤ
روق	r u q
روق	r u q
روق	r u q
روم	r u m
روما	r u m aː
روما	r u m aː
رومانسي	r u m aː n s iː
رومانيا	r u m aː n i aː
رومية	r u m i a
رومية	r u m i a
رونق	r u n q
روية	r u j a
رويدا	r u j d aː
رياسة	r i aː s a
رياش	r i aː ʃ
رياضة	r i aː dˤ a
رياضي	r i aː dˤ iː
رياضيات	r i aː dˤ i aː t
ريال	r i aː l
ريان	r i aː n
ريباس	r i b aː s
ريح	r i ħ
ريح	r i ħ
ريح	r i ħ
ريح	r i ħ
ريحان	r i ħ aː n
ريحانة	r i ħ aː n a
ريش	r i ʃ
ريشة	r i ʃ a
ريصار	r i sˤ aː r
ريصال	r i sˤ aː l
ريفي	r i f iː
ريمونتادا	r i m u n t aː d aː
ريوند	r i w n d
ز	z
ز	z
ز	z
زأر	z ʔ a r
زأم	z ʔ a m
زأمة	z ʔ a m a
زؤام	z ʔ u aː m
زئر	z ʔ i r
زئم	z ʔ i m
زئير	z ʔ i i r
زاؤوق	z aː ʔ u u q
زائر	z aː ʔ i r
زائف	z aː ʔ i f
زائل	z aː ʔ i l
زاح	z aː ħ
زار	z aː r
زاغ	z aː ɣ
زامبيا	z aː m b i aː
زانية	z aː n i a
زاهد	z aː h d
زاوية	z aː w j a
زاي	z aː iː
زايد	z aː j d
زبال	z b aː l
زبالة	z b aː l a
زبب	z b b
زبب	z b b
زبدة	z b d a
زبدة	z b d a
زبدة	z b d a
زبرجد	z b r dʒ d
زبطانة	z b tˤ aː n a
زبل	z b l
زبل	z b l
زبور	z b u r
زبون	z b u n
زبيب	z b i b
زبيل	z b i l
زبيل	z b i l
زجاج	z dʒ aː dʒ
زجاجة	z dʒ aː dʒ a
زجاجة	z dʒ aː dʒ a
زجاجة	z dʒ aː dʒ a
زحافة	z ħ aː f a
زحزح	z ħ z ħ
زحف	z ħ f
زحف	z ħ f
زحل	z ħ l
زحمة	z ħ m a
زخ	z x
زخ	z x
زخات	z x aː t
زخة	z x a
زخرفة	z x r f a
زراعة	z r aː ʕ a
زراعي	z r aː ʕ iː
زرافة	z r aː f a
زرافة	z r aː f a
زراوند	z r aː w n d
زربطانة	z r b tˤ aː n a
زربية	z r b i a
زربية	z r b i a
زربية	z r b i a
زرجون	z r dʒ u n
زردخان	z r d x aː n
زردخاناة	z r d x aː n aː a
زردخانة	z r d x aː n a
زردخانة	z r d x aː n a
زرزر	z r z r
زرشك	z r ʃ k
زرشك	z r ʃ k
زرع	z r ʕ
زرع	z r ʕ
زرقاء	z r q aː ʔ
زرقطونا	z r q tˤ u n aː
زرقون	z r q u n
زرنب	z r n b
زرنب	z r n b
زرياب	z r i aː b
زريبة	z r i b a
زعتر	z ʕ t r
زعزع	z ʕ z ʕ
زعط	z ʕ tˤ
زعفران	z ʕ f r aː n
زعنفة	z ʕ n f a
زعنفة	z ʕ n f a
زعيم	z ʕ i m
زغاريد	z ɣ aː r i d
زغاية	z ɣ aː j a
زغب	z ɣ b
زغرد	z ɣ r d
زغلول	z ɣ l u l
زفاف	z f aː f
زفر	z f r
زفزف	z f z f
زفن	z f n
زفيزف	z f i z f
زق	z q
زق	z q
زق	z q
زق	z q
زقاق	z q aː q
زقوم	z q u m
زكاة	z k aː a
زكاة	z k aː a
زكام	z k aː m
زكرة	z k r a
زكريا	z k r i aː
زكوات	z k u aː t
زكى	z k aː
زكي	z k iː
زكي	z k iː
زلابية	z l aː b i a
زلابية	z l aː b i a
زلازل	z l aː z l
زلال	z l aː l
زلزال	z l z aː l
زلزال	z l z aː l
زلزل	z l z l
زلزلة	z l z l a
زلية	z l i a
زلية	z l i a
زليج	z l i dʒ
زم	z m
زمام	z m aː m
زمان	z m aː n
زمانئذ	z m aː n ʔ i ð
زمانذاك	z m aː n ð aː k
زمج	z m dʒ
زمجر	z m dʒ r
زمرة	z m r a
زمرد	z m r d
زمزريق	z m z r i q
زمزم	z m z m
زمزم	z m z m
زمكان	z m k aː n
زملاء	z m l aː ʔ
زمن	z m n
زمنئذ	z m n ʔ i ð
زمنذاك	z m n ð aː k
زمهرير	z m h r i r
زميل	z m i l
زميلات	z m i l aː t
زميلة	z m i l a
زمين	z m i n
زنار	z n aː r
زنباع	z n b aː ʕ
زنباعة	z n b aː ʕ a
زنبق	z n b q
زنبوج	z n b u dʒ
زنبور	z n b u r
زنبور	z n b u r
زنبوع	z n b u ʕ
زنة	z n a
زنجاري	z n dʒ aː r iː
زنجبيل	z n dʒ b i l
زنخ	z n x
زندقة	z n d q a
زنديق	z n d i q
زنزانة	z n z aː n a
زنوبة	z n u b a
زها	z h aː
زهر	z h r
زهر	z h r
زهراء	z h r aː ʔ
زهرة	z h r a
زهرة	z h r a
زهرية	z h r i a
زهو	z h uː
زواج	z u aː dʒ
زوار	z u aː r
زوار	z u aː r
زوال	z u aː l
زوان	z u aː n
زوان	z u aː n
زوان	z u aː n
زوان	z u aː n
زوج	z u dʒ
زوج	z u dʒ
زوجة	z u dʒ a
زوجي	z u dʒ iː
زود	z u d
زوراء	z u r aː ʔ
زورق	z u r q
زوفا	z u f aː
زوفرا	z u f r aː
زوقال	z u q aː l
زول	z u l
زولية	z u l i a
زوم	z u m
زيا	z i aː
زياد	z i aː d
زيادة	z i aː d a
زيادة	z i aː d a
زيار	z i aː r
زيارة	z i aː r a
زيت	z i t
زيتون	z i t u n
زيتي	z i t iː
زيج	z i dʒ
زيرباج	z i r b aː dʒ
زيزفون	z i z f u n
زيمبابوي	z i m b aː b u iː
زينب	z i n b
س	s
س	s
سأل	s ʔ a l
سؤال	s ʔ u aː l
سؤال	s ʔ u aː l
سؤدد	s ʔ u d d
سؤدد	s ʔ u d d
سئم	s ʔ i m
ساء	s aː ʔ
ساءل	s aː ʔ l
سائبة	s aː ʔ i b a
سائح	s aː ʔ i ħ
سائد	s aː ʔ i d
سائل	s aː ʔ i l
سائمة	s aː ʔ i m a
سابع	s aː b ʕ
سابق	s aː b q
سابقة	s aː b q a
سابيائي	s aː b i aː ʔ i iː
ساتر	s aː t r
ساج	s aː dʒ
ساجور	s aː dʒ u r
ساحة	s aː ħ a
ساحر	s aː ħ r
ساحرة	s aː ħ r a
ساحل	s aː ħ l
ساحلي	s aː ħ l iː
ساخط	s aː x tˤ
ساخن	s aː x n
ساد	s aː d
سادس	s aː d s
سادن	s aː d n
ساذج	s aː ð dʒ
ساذج	s aː ð dʒ
سار	s aː r
سارة	s aː r a
سارق	s aː r q
سارق	s aː r q
ساسم	s aː s m
ساط	s aː tˤ
ساطور	s aː tˤ u r
ساع	s aː ʕ
ساعة	s aː ʕ a
ساعتئذ	s aː ʕ t ʔ i ð
ساعتذاك	s aː ʕ t ð aː k
ساعد	s aː ʕ d
ساعد	s aː ʕ d
ساف	s aː f
ساف	s aː f
سافانا	s aː f aː n aː
سافل	s aː f l
ساق	s aː q
ساق	s aː q
ساكف	s aː k f
ساكن	s aː k n
ساكن	s aː k n
سالب	s aː l b
سالوس	s aː l u s
سام	s aː m
سام	s aː m
سام	s aː m
سام	s aː m
سامور	s aː m u r
سامي	s aː m iː
سامية	s aː m i a
سامية	s aː m i a
ساند	s aː n d
ساندويتش	s aː n d u j t ʃ
سانية	s aː n i a
سانية	s aː n i a
ساه	s aː h
ساهر	s aː h r
ساهم	s aː h m
ساهور	s aː h u r
ساهون	s aː h u n
ساوم	s aː w m
سبأ	s b ʔ a
سبئي	s b ʔ i iː
سباق	s b aː q
سباك	s b aː k
سبانخ	s b aː n x
سبانخ	s b aː n x
سبب	s b b
سبب	s b b
سببية	s b b i a
سبتمبر	s b t m b r
سبتمبر	s b t m b r
سبتمبر	s b t m b r
سبتمبر	s b t m b r
سبتمبر	s b t m b r
سبتمبر	s b t m b r
سبج	s b dʒ
سبح	s b ħ
سبح	s b ħ
سبح	s b ħ
سبخة	s b x a
سبخة	s b x a
سبر	s b r
سبر	s b r
سبر	s b r
سبسب	s b s b
سبسب	s b s b
سبطانة	s b tˤ aː n a
سبعة	s b ʕ a
سبعون	s b ʕ u n
سبلة	s b l a
سبها	s b h aː
سبورة	s b u r a
ستار	s t aː r
ستارة	s t aː r a
ستة	s t a
سترة	s t r a
سترجة	s t r dʒ a
ستنبر	s t n b r
ستون	s t u n
سجا	s dʒ aː
سجادة	s dʒ aː d a
سجال	s dʒ aː l
سجستان	s dʒ s t aː n
سجستان	s dʒ s t aː n
سجلاط	s dʒ l aː tˤ
سجن	s dʒ n
سجنجل	s dʒ n dʒ l
سجين	s dʒ i n
سحاب	s ħ aː b
سحابة	s ħ aː b a
سحاقية	s ħ aː q i a
سحلب	s ħ l b
سحلية	s ħ l i a
سحم	s ħ m
سحم	s ħ m
سحم	s ħ m
سحور	s ħ u r
سحور	s ħ u r
سخاء	s x aː ʔ
سخاب	s x aː b
سخام	s x aː m
سخبر	s x b r
سخد	s x d
سخل	s x l
سخيف	s x i f
سدارة	s d aː r a
سدر	s d r
سدر	s d r
سدل	s d l
سذاب	s ð aː b
سذاب	s ð aː b
سذاجة	s ð aː dʒ a
سراء	s r aː ʔ
سراب	s r aː b
سراة	s r aː a
سراح	s r aː ħ
سرادق	s r aː d q
سراط	s r aː tˤ
سراق	s r aː q
سراق	s r aː q
سراويل	s r aː w j l
سربال	s r b aː l
سربام	s r b aː m
سرة	s r a
سرجين	s r dʒ i n
سرحان	s r ħ aː n
سرخس	s r x s
سرد	s r d
سرد	s r d
سرداب	s r d aː b
سرط	s r tˤ
سرعة	s r ʕ a
سرعوف	s r ʕ u f
سرعوف	s r ʕ u f
سرقسطة	s r q s tˤ a
سرقين	s r q i n
سركنجبين	s r k n dʒ b i n
سركنجبين	s r k n dʒ b i n
سرم	s r m
سرمدي	s r m d iː
سرمق	s r m q
سرنديب	s r n d i b
سرو	s r uː
سروال	s r u aː l
سرور	s r u r
سرى	s r aː
سريان	s r i aː n
سريان	s r i aː n
سرير	s r i r
سرير	s r i r
سريش	s r i ʃ
سريش	s r i ʃ
سريع	s r i ʕ
سريلانكا	s r i l aː n k aː
سطات	s tˤ aː t
سطام	s tˤ aː m
سطح	s tˤ ħ
سطحي	s tˤ ħ iː
سطع	s tˤ ʕ
سطم	s tˤ m
سطم	s tˤ m
سطوة	s tˤ u a
سطوع	s tˤ u ʕ
سعادة	s ʕ aː d a
سعار	s ʕ aː r
سعال	s ʕ aː l
سعة	s ʕ a
سعد	s ʕ d
سعداء	s ʕ d aː ʔ
سعدان	s ʕ d aː n
سعر	s ʕ r
سعل	s ʕ l
سعودي	s ʕ u d iː
سعودي	s ʕ u d iː
سعى	s ʕ aː
سعي	s ʕ iː
سعي	s ʕ iː
سعيد	s ʕ i d
سفاح	s f aː ħ
سفاح	s f aː ħ
سفارة	s f aː r a
سفافيد	s f aː f i d
سفالة	s f aː l a
سفالة	s f aː l a
سفر	s f r
سفر	s f r
سفر	s f r
سفر	s f r
سفر	s f r
سفرة	s f r a
سفرجل	s f r dʒ l
سفرجلة	s f r dʒ l a
سفع	s f ʕ
سفع	s f ʕ
سفهاء	s f h aː ʔ
سفود	s f u d
سفوف	s f u f
سفيان	s f i aː n
سفير	s f i r
سفينة	s f i n a
سفينة	s f i n a
سفيه	s f i h
سقاء	s q aː ʔ
سقاء	s q aː ʔ
سقراط	s q r aː tˤ
سقرلاط	s q r l aː tˤ
سقطة	s q tˤ a
سقطرة	s q tˤ r a
سقطرى	s q tˤ r aː
سقف	s q f
سقلات	s q l aː t
سقلاتون	s q l aː t u n
سقلاط	s q l aː tˤ
سقلاطون	s q l aː tˤ u n
سقلطون	s q l tˤ u n
سقلطوني	s q l tˤ u n iː
سقم	s q m
سقم	s q m
سقمونيا	s q m u n i aː
سقنقور	s q n q u r
سقوط	s q u tˤ
سقيفة	s q i f a
سقيم	s q i m
سكار	s k aː r
سكافة	s k aː f a
سكب	s k b
سكب	s k b
سكباج	s k b aː dʒ
سكة	s k a
سكر	s k r
سكران	s k r aː n
سكرتير	s k r t i r
سكرجة	s k r dʒ a
سكرجة	s k r dʒ a
سكرجة	s k r dʒ a
سكسكة	s k s k a
سكن	s k n
سكن	s k n
سكن	s k n
سكنة	s k n a
سكنة	s k n a
سكنة	s k n a
سكنة	s k n a
سكنجبين	s k n dʒ b i n
سكنجبين	s k n dʒ b i n
سكون	s k u n
سكونة	s k u n a
سكي	s k iː
سكير	s k i r
سكين	s k i n
سكينة	s k i n a
سكينة	s k i n a
سلا	s l aː
سلاجقة	s l aː dʒ q a
سلاح	s l aː ħ
سلاح	s l aː ħ
سلاطين	s l aː tˤ i n
سلاف	s l aː f
سلافي	s l aː f iː
سلاق	s l aː q
سلالة	s l aː l a
سلام	s l aː m
سلام	s l aː m
سلامة	s l aː m a
سلامتك	s l aː m t k
سلامتك	s l aː m t k
سلباح	s l b aː ħ
سلبي	s l b iː
سلبية	s l b i a
سلة	s l a
سلة	s l a
سلة	s l a
سلجم	s l dʒ m
سلجوق	s l dʒ u q
سلجوقي	s l dʒ u q iː
سلح	s l ħ
سلح	s l ħ
سلح	s l ħ
سلحفاة	s l ħ f aː a
سلسل	s l s l
سلسلة	s l s l a
سلطان	s l tˤ aː n
سلطانية	s l tˤ aː n i a
سلطة	s l tˤ a
سلطة	s l tˤ a
سلطنة	s l tˤ n a
سلطوي	s l tˤ u iː
سلطوية	s l tˤ u j a
سلعة	s l ʕ a
سلفادور	s l f aː d u r
سلفادور	s l f aː d u r
سلم	s l m
سلم	s l m
سلماس	s l m aː s
سلمون	s l m u n
سلمون	s l m u n
سلهت	s l h t
سلوان	s l u aː n
سلوفاكيا	s l u f aː k i aː
سلوفاكيا	s l u f aː k i aː
سلوفاكيا	s l u f aː k i aː
سلوفينيا	s l u f i n i aː
سلوقي	s l u q iː
سلوقي	s l u q iː
سلوقي	s l u q iː
سلوى	s l u aː
سليخة	s l i x a
سليقة	s l i q a
سليل	s l i l
سليلة	s l i l a
سليلى	s l i l aː
سليم	s l i m
سليمان	s l i m aː n
سم	s m
سماء	s m aː ʔ
سماد	s m aː d
سمار	s m aː r
سماعي	s m aː ʕ iː
سماق	s m aː q
سماوي	s m aː w iː
سمبوسة	s m b u s a
سمبوسك	s m b u s k
سمرقند	s m r q n d
سمسار	s m s aː r
سمسم	s m s m
سمع	s m ʕ
سمع	s m ʕ
سمع	s m ʕ
سمعان	s m ʕ aː n
سمعة	s m ʕ a
سمعي	s m ʕ iː
سمك	s m k
سمكة	s m k a
سمن	s m n
سمن	s m n
سمن	s m n
سمن	s m n
سمن	s m n
سمن	s m n
سمن	s m n
سمن	s m n
سمو	s m uː
سموأل	s m u ʔ a l
سموئيل	s m u ʔ i i l
سمور	s m u r
سموم	s m u m
سموم	s m u m
سمويل	s m u j l
سمى	s m aː
سميت	s m i t
سميد	s m i d
سميذ	s m i ð
سمير	s m i r
سميرة	s m i r a
سميط	s m i tˤ
سميع	s m i ʕ
سميك	s m i k
سن	s n
سن	s n
سن	s n
سنام	s n aː m
سنان	s n aː n
سنبك	s n b k
سنبك	s n b k
سنبل	s n b l
سنبلة	s n b l a
سنبوسة	s n b u s a
سنبوسج	s n b u s dʒ
سنبوسق	s n b u s q
سنبوسك	s n b u s k
سنة	s n a
سنة	s n a
سنة	s n a
سنت	s n t
سنت	s n t
سنت	s n t
سنجاب	s n dʒ aː b
سنجق	s n dʒ q
سنح	s n ħ
سندان	s n d aː n
سندان	s n d aː n
سندباد	s n d b aː d
سندر	s n d r
سندس	s n d s
سنسار	s n s aː r
سنط	s n tˤ
سنغافورة	s n ɣ aː f u r a
سنوت	s n u t
سنور	s n u r
سنوريات	s n u r i aː t
سنونو	s n u n uː
سنونوة	s n u n u a
سنونية	s n u n i a
سني	s n iː
سني	s n iː
سها	s h aː
سهر	s h r
سهر	s h r
سهريز	s h r i z
سهريز	s h r i z
سهل	s h l
سهل	s h l
سهل	s h l
سهلا	s h l aː
سهم	s h m
سهو	s h uː
سهوا	s h u aː
سهوان	s h u aː n
سهوة	s h u a
سهول	s h u l
سهولة	s h u l a
سوء	s u ʔ
سوء	s u ʔ
سواحلية	s u aː ħ l i a
سواد	s u aː d
سوار	s u aː r
سواقة	s u aː q a
سواقة	s u aː q a
سواكن	s u aː k n
سوايا	s u aː j aː
سوبيا	s u b i aː
سوبيا	s u b i aː
سوداء	s u d aː ʔ
سوداوي	s u d aː w iː
سوداوية	s u d aː w j a
سوراني	s u r aː n iː
سورة	s u r a
سورة	s u r a
سورنجان	s u r n dʒ aː n
سورنجان	s u r n dʒ aː n
سوريا	s u r i aː
سوريا	s u r i aː
سورينام	s u r i n aː m
سوس	s u s
سوس	s u s
سوس	s u s
سوسة	s u s a
سوط	s u tˤ
سوفياتي	s u f i aː t iː
سوفياتي	s u f i aː t iː
سوفياتي	s u f i aː t iː
سوق	s u q
سوق	s u q
سوق	s u q
سوق	s u q
سوق	s u q
سول	s u l
سومو	s u m uː
سونكي	s u n k iː
سوية	s u j a
سويداء	s u j d aː ʔ
سويدي	s u j d iː
سويسرا	s u j s r aː
سويسرا	s u j s r aː
سويسرا	s u j s r aː
سويسرا	s u j s r aː
سويسري	s u j s r iː
سويسري	s u j s r iː
سويق	s u j q
سويق	s u j q
سيء	s i ʔ
سيئ	s i ʔ i
سيئول	s i ʔ i u l
سياج	s i aː dʒ
سيادة	s i aː d a
سيارة	s i aː r a
سيارة	s i aː r a
سيارة	s i aː r a
سياسة	s i aː s a
سياع	s i aː ʕ
سياع	s i aː ʕ
سيال	s i aː l
سيبويه	s i b u j h
سيبويه	s i b u j h
سيجارة	s i dʒ aː r a
سيجارة	s i dʒ aː r a
سيخ	s i x
سيخي	s i x iː
سيخية	s i x i a
سيد	s i d
سيدا	s i d aː
سيراء	s i r aː ʔ
سيراليون	s i r aː l i w n
سيرج	s i r dʒ
سيرج	s i r dʒ
سيرج	s i r dʒ
سيرك	s i r k
سيرين	s i r i n
سيس	s i s
سيسبان	s i s b aː n
سيطر	s i tˤ r
سيطرة	s i tˤ r a
سيف	s i f
سيف	s i f
سيف	s i f
سيكران	s i k r aː n
سيكران	s i k r aː n
سيكولوجي	s i k u l u dʒ iː
سيل	s i l
سيلان	s i l aː n
سيلوفون	s i l u f u n
سيماء	s i m aː ʔ
سين	s i n
سيناء	s i n aː ʔ
سيناء	s i n aː ʔ
سينثيا	s i n θ i aː
سينما	s i n m aː
سينمائي	s i n m aː ʔ i iː
سيول	s i w l
سيول	s i w l
سيولة	s i w l a
ش	ʃ
ش	ʃ
شؤبوب	ʃ ʔ u b u b
شؤم	ʃ ʔ u m
شاء	ʃ aː ʔ
شاء	ʃ aː ʔ
شائك	ʃ aː ʔ i k
شاب	ʃ aː b
شاب	ʃ aː b
شابانج	ʃ aː b aː n dʒ
شابانك	ʃ aː b aː n k
شاة	ʃ aː a
شاحن	ʃ aː ħ n
شاحنة	ʃ aː ħ n a
شاخ	ʃ aː x
شاذ	ʃ aː ð
شار	ʃ aː r
شارع	ʃ aː r ʕ
شارف	ʃ aː r f
شاسع	ʃ aː s ʕ
شاش	ʃ aː ʃ
شاشة	ʃ aː ʃ a
شاشية	ʃ aː ʃ i a
شاط	ʃ aː tˤ
شاطئ	ʃ aː tˤ ʔ i
شاع	ʃ aː ʕ
شاعر	ʃ aː ʕ r
شاعرة	ʃ aː ʕ r a
شاعري	ʃ aː ʕ r iː
شاغل	ʃ aː ɣ l
شاغل	ʃ aː ɣ l
شاف	ʃ aː f
شافانج	ʃ aː f aː n dʒ
شافعي	ʃ aː f ʕ iː
شاقول	ʃ aː q u l
شاقولي	ʃ aː q u l iː
شاكر	ʃ aː k r
شاكرة	ʃ aː k r a
شاكوش	ʃ aː k u ʃ
شام	ʃ aː m
شامبو	ʃ aː m b uː
شامة	ʃ aː m a
شامخ	ʃ aː m x
شانغهاي	ʃ aː n ɣ h aː iː
شاهبلوط	ʃ aː h b l u tˤ
شاهة	ʃ aː h a
شاهترج	ʃ aː h t r dʒ
شاهد	ʃ aː h d
شاهد	ʃ aː h d
شاهدانج	ʃ aː h d aː n dʒ
شاهدانق	ʃ aː h d aː n q
شاهسبرم	ʃ aː h s b r m
شاهسفرم	ʃ aː h s f r m
شاهل	ʃ aː h l
شاهلوج	ʃ aː h l u dʒ
شاهلوك	ʃ aː h l u k
شاهنشاه	ʃ aː h n ʃ aː h
شاهين	ʃ aː h i n
شاور	ʃ aː w r
شاورما	ʃ aː w r m aː
شاورما	ʃ aː w r m aː
شاورما	ʃ aː w r m aː
شاي	ʃ aː iː
شب	ʃ b
شبابة	ʃ b aː b a
شباك	ʃ b aː k
شبح	ʃ b ħ
شبح	ʃ b ħ
شبح	ʃ b ħ
شبح	ʃ b ħ
شبح	ʃ b ħ
شبرق	ʃ b r q
شبرق	ʃ b r q
شبرق	ʃ b r q
شبرم	ʃ b r m
شبشب	ʃ b ʃ b
شبع	ʃ b ʕ
شبع	ʃ b ʕ
شبعان	ʃ b ʕ aː n
شبقي	ʃ b q iː
شبكة	ʃ b k a
شبهات	ʃ b h aː t
شبهة	ʃ b h a
شبوط	ʃ b u tˤ
شبوطة	ʃ b u tˤ a
شبيه	ʃ b i h
شت	ʃ t
شتاء	ʃ t aː ʔ
شتان	ʃ t aː n
شتلة	ʃ t l a
شتم	ʃ t m
شتمبر	ʃ t m b r
شتنبر	ʃ t n b r
شتوة	ʃ t u a
شتى	ʃ t aː
شتيت	ʃ t i t
شتيمة	ʃ t i m a
شج	ʃ dʒ
شجا	ʃ dʒ aː
شجاع	ʃ dʒ aː ʕ
شجرة	ʃ dʒ r a
شجرة	ʃ dʒ r a
شجري	ʃ dʒ r iː
شجو	ʃ dʒ uː
شجون	ʃ dʒ u n
شجيرة	ʃ dʒ i r a
شجيع	ʃ dʒ i ʕ
شحاذ	ʃ ħ aː ð
شحاذة	ʃ ħ aː ð a
شحرور	ʃ ħ r u r
شحن	ʃ ħ n
شحيح	ʃ ħ i ħ
شحيرة	ʃ ħ i r a
شخر	ʃ x r
شخر	ʃ x r
شخر	ʃ x r
شخشخ	ʃ x ʃ x
شخشيخة	ʃ x ʃ i x a
شخص	ʃ x sˤ
شخص	ʃ x sˤ
شخص	ʃ x sˤ
شخصا	ʃ x sˤ aː
شخصي	ʃ x sˤ iː
شخصيا	ʃ x sˤ i aː
شخصية	ʃ x sˤ i a
شد	ʃ d
شدا	ʃ d aː
شدائد	ʃ d aː ʔ i d
شدايقة	ʃ d aː j q a
شدة	ʃ d a
شدة	ʃ d a
شدد	ʃ d d
شدياق	ʃ d i aː q
شديدة	ʃ d i d a
شذر	ʃ ð r
شذر	ʃ ð r
شراء	ʃ r aː ʔ
شرائع	ʃ r aː ʔ i ʕ
